#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
87,Libya,"501,738",+33,"6,419",+4,"490,052",+99,"5,267",101,"71,325",912,"2,473,358","351,600","7,034,576",Africa
88,Ethiopia,"469,784",+26,"7,500",+3,"444,479","+1,653","17,805",17,"3,917",63,"4,663,941","38,886","119,937,343",Africa
89,Mongolia,"468,462",+127,"2,177",,"313,256",,"153,029",192,"138,987",646,"4,030,048","1,195,669","3,370,538",Asia
90,Cyprus,"433,217","+2,491",942,+2,"124,370",,"307,905",60,"354,306",770,"9,477,138","7,750,859","1,222,721",Asia
91,Armenia,"422,540",+21,"8,616",+3,"410,042",+55,"3,882",,"142,129","2,898","2,977,286","1,001,467","2,972,924",Asia
92,Honduras,"421,062",,"10,880",,"131,100",,"279,082",105,"41,362","1,069","1,263,329","124,101","10,179,868",North America
93,Oman,"388,343",,"4,250",,"382,939",,"1,154",17,"72,813",797,"25,000,000","4,687,390","5,333,459",Asia
94,Bosnia and Herzegovina,"375,554",+114,"15,718",+5,"192,218",,"167,618",,"115,728","4,844","1,737,191","535,319","3,245,152",Europe
95,Qatar,"361,545",+130,677,,"359,712",+123,"1,156",1,"128,764",241,"3,410,893","1,214,790","2,807,805",Asia
96,Réunion,"336,945",,709,,"322,519",,"13,717",10,"371,707",782,"1,603,660","1,769,107","906,480",Africa
97,Kenya,"323,436",+13,"5,648",,"317,658",+17,130,1,"5,792",101,"3,520,326","63,043","55,840,320",Africa
98,Zambia,"316,941",+91,"3,966",,"312,249",+113,726,,"16,436",206,"3,360,009","174,247","19,283,070",Africa
99,North Macedonia,"306,178",+199,"9,226",+5,"295,237",+249,"1,715",,"146,973","4,429","1,960,264","940,976","2,083,224",Europe
100,Botswana,"305,526",,"2,686",,"302,476",,364,1,"125,494","1,103","2,026,898","832,546","2,434,578",Africa
101,Albania,"273,759",+82,"3,492",,"269,787",+71,480,13,"95,310","1,216","1,778,617","619,230","2,872,305",Europe
102,Algeria,"265,679",+8,"6,874",,"178,296",+8,"80,509",6,"5,873",152,"230,861","5,104","45,234,532",Africa
103,Nigeria,"255,468",+53,"3,142",,"249,612",+6,"2,714",11,"1,188",15,"4,841,764","22,513","215,063,351",Africa
104,Zimbabwe,"246,414",+128,"5,444",,"238,475",+199,"2,495",12,"16,168",357,"2,192,887","143,881","15,241,010",Africa
105,Uzbekistan,"237,787",+38,"1,637",,"235,618",+25,532,23,"6,929",48,"1,377,915","40,153","34,316,830",Asia
106,Montenegro,"233,179",+77,"2,704",+2,"229,878",+65,597,6,"371,183","4,304","1,211,569","1,928,620","628,205",Europe
107,Mozambique,"225,261",+5,"2,200",,"222,998",,63,13,"6,871",67,"1,297,216","39,568","32,784,650",Africa
108,Luxembourg,"216,979","+1,148","1,037",+1,"196,469","+1,380","19,473",3,"337,043","1,611","4,165,411","6,470,310","643,773",Europe
109,Kyrgyzstan,"200,946",+11,"2,989",+1,"196,213",,"1,744",131,"29,937",445,"1,907,195","284,135","6,712,274",Asia
110,Iceland,"181,830",+440,101,,"75,685",,"106,044",2,"526,869",293,"1,885,540","5,463,528","345,114",Europe
111,Laos,"179,563","+2,665",669,+4,"7,660",,"171,234",,"24,070",90,"1,023,002","137,131","7,460,049",Asia
112,Afghanistan,"177,788",+24,"7,671",+1,"161,031",+20,"9,086","1,124","4,394",190,"922,414","22,798","40,459,785",Asia
113,Maldives,"176,993",,298,,"163,687",,"13,008",25,"317,660",535,"2,213,831","3,973,292","557,178",Asia
114,Uganda,"163,919",+14,"3,595",,"100,175",+8,"60,149",2,"3,396",74,"2,558,257","53,006","48,263,255",Africa
115,El Salvador,"161,052",,"4,119",,"141,145",,"15,788",45,"24,613",629,"1,847,861","282,400","6,543,410",North America
116,Ghana,"160,971",,"1,445",,"159,468",,58,1,"4,998",45,"2,419,852","75,137","32,206,036",Africa
117,Namibia,"157,646",,"4,019",,"153,069",,558,3,"60,140","1,533","983,850","375,329","2,621,303",Africa
118,Martinique,"141,415",,909,,104,,"140,402",8,"377,352","2,426","807,954","2,155,947","374,756",North America
119,Trinidad and Tobago,"138,159",+299,"3,754",+4,"127,251",,"7,154",18,"98,165","2,667","673,866","478,799","1,407,409",North America
120,Cambodia,"135,682",+57,"3,054",,"131,808",+102,820,,"7,924",178,"2,928,118","171,002","17,123,309",Asia
121,Brunei,"134,915",+503,210,+2,"130,250","+1,020","4,455",,"303,316",472,"717,784","1,613,723","444,800",Asia
122,Guadeloupe,"130,705",,843,,"2,250",,"127,612",19,"326,563","2,106","938,039","2,343,668","400,244",North America
123,Rwanda,"129,726",+4,"1,458",,"45,522",,"82,746",1,"9,600",108,"5,119,875","378,885","13,513,001",Africa
124,Jamaica,"128,786",+29,"2,889",+1,"81,207",+78,"44,690",,"43,162",968,"929,300","311,453","2,983,758",North America
125,Cameroon,"119,544",,"1,927",,"117,455",,162,13,"4,316",70,"1,751,774","63,241","27,699,994",Africa
126,Angola,"99,194",+25,"1,900",,"97,149",+5,145,,"2,863",55,"1,499,795","43,282","34,651,406",Africa
127,DRC,"86,748",,"1,337",,"50,930",,"34,481",,920,14,"846,704","8,977","94,315,871",Africa
128,Senegal,"85,901",+6,"1,964",,"83,903",+6,34,,"4,905",112,"1,045,709","59,705","17,514,541",Africa
129,Malawi,"85,650",+10,"2,626",,"80,654",+324,"2,370",67,"4,284",131,"562,421","28,130","19,993,298",Africa
130,Ivory Coast,"81,741",,796,,"80,913",,32,,"2,970",29,"1,471,872","53,485","27,519,163",Africa
131,Malta,"80,198",+659,638,,"73,194",+329,"6,366",4,"180,790","1,438","1,807,898","4,075,532","443,598",Europe
132,Suriname,"79,221",+19,"1,324",,"49,378",+1,"28,519",,"132,962","2,222","235,391","395,071","595,819",South America
133,French Guiana,"79,075",,394,,"11,254",,"67,427",4,"253,281","1,262","609,252","1,951,461","312,203",South America
134,French Polynesia,"72,318",+123,646,,N/A,N/A,N/A,7,"254,869","2,277",,,"283,746",Australia/Oceania
135,Eswatini,"69,832",+61,"1,394",,"68,313",+34,125,11,"59,122","1,180","1,001,784","848,137","1,181,158",Africa
136,Channel Islands,"69,036",+183,156,,"64,656",+311,"4,224",,"390,776",883,"1,244,612","7,045,080","176,664",Europe
137,Fiji,"64,417",+5,834,,"62,605",+5,978,,"70,960",919,"505,020","556,313","907,799",Australia/Oceania
138,Madagascar,"64,009",,"1,384",,"59,280",,"3,345",19,"2,212",48,"410,717","14,195","28,934,334",Africa
139,Guyana,"63,258",+5,"1,226",,"61,954",+5,78,4,"79,752","1,546","570,381","719,101","793,186",South America
140,Sudan,"61,955",,"4,907",,N/A,N/A,N/A,,"1,358",108,"562,941","12,335","45,637,581",Africa
141,New Caledonia,"60,294",+12,311,,"59,727",+89,256,9,"207,699","1,071","98,964","340,908","290,295",Australia/Oceania
142,Barbados,"59,495",+223,375,+1,"57,636",+43,"1,484",,"206,587","1,302","613,322","2,129,664","287,990",North America
143,Mauritania,"58,670",+1,982,,"57,679",,9,,"12,064",202,"782,021","160,807","4,863,108",Africa
144,Belize,"57,289",+9,656,+2,"56,383",+38,250,6,"139,648","1,599","523,303","1,275,602","410,240",North America
145,Cabo Verde,"55,957",+5,401,,"55,493",,63,23,"98,770",708,"400,982","707,772","566,541",Africa
146,Syria,"55,701",+6,"3,142",+1,"51,651",+63,908,,"3,053",172,"146,269","8,018","18,243,216",Asia
147,Gabon,"47,586",+2,303,,"47,266",+1,17,,"20,534",131,"1,588,772","685,564","2,317,468",Africa
148,Papua New Guinea,"42,203",,640,,"39,905",,"1,658",7,"4,566",69,"249,149","26,955","9,243,127",Australia/Oceania
149,Curaçao,"40,671",+454,267,,"39,858",+405,546,3,"246,094","1,616","494,095","2,989,695","165,266",North America
150,Seychelles,"40,421",,164,,"39,790",,467,,"406,605","1,650",,,"99,411",Africa
151,Andorra,"40,024",,153,,"39,283",,588,14,"516,565","1,975","249,838","3,224,507","77,481",Europe
152,Burundi,"38,509",+19,38,,773,,"37,698",,"3,078",3,"345,742","27,639","12,509,183",Africa
153,Togo,"36,943",+4,272,,"36,591",,80,,"4,287",32,"719,140","83,450","8,617,641",Africa
154,Mayotte,"36,891",+146,187,,"2,964",,"33,740",,"129,755",658,"176,919","622,271","284,312",Africa
155,Mauritius,"36,481",+70,968,,"33,927",+52,"1,586",,"28,602",759,"358,675","281,213","1,275,457",Africa
156,Guinea,"36,459",,440,,"35,976",,43,8,"2,651",32,"660,107","47,991","13,754,904",Africa
157,Faeroe Islands,"34,237",,28,,"7,693",,"26,516",5,"696,058",569,"778,000","15,817,187","49,187",Europe
158,Aruba,"34,051",+122,212,,"33,752",+89,87,3,"316,583","1,971","177,885","1,653,852","107,558",North America
159,Tanzania,"33,815",,800,,N/A,N/A,N/A,7,539,13,,,"62,705,430",Africa
160,Bahamas,"33,291",+8,788,,"32,199",+9,304,11,"83,267","1,971","226,807","567,286","399,811",North America
161,Lesotho,"32,910",,697,,"24,155",,"8,058",,"15,152",321,"431,221","198,543","2,171,931",Africa
162,Haiti,"30,547",,833,,"28,531",,"1,183",,"2,623",72,"132,422","11,371","11,645,453",North America
163,Mali,"30,489",+5,728,+1,"29,638",+2,123,,"1,433",34,"650,398","30,579","21,269,406",Africa
164,Bhutan,"29,139","+1,038",11,+1,"24,296",+500,"4,832",18,"37,051",14,"2,106,290","2,678,201","786,457",Asia
165,Isle of Man,"28,416",,84,,"26,794",,"1,538",,"331,115",979,"150,753","1,756,639","85,819",Europe
166,Benin,"26,952",,163,,"25,506",,"1,283",5,"2,126",13,"604,310","47,667","12,677,778",Africa
167,Somalia,"26,400",,"1,348",,"13,182",,"11,870",,"1,584",81,"400,466","24,027","16,667,565",Africa
168,Congo,"24,071",,385,,"20,178",,"3,508",,"4,182",67,"347,815","60,434","5,755,317",Africa
169,Taiwan,"23,629",+236,853,,"20,372",+62,"2,404",,989,36,"12,782,853","535,024","23,892,124",Asia
170,Saint Lucia,"22,959",+6,365,,"22,567",+7,27,,"124,040","1,972","140,589","759,555","185,094",North America
171,Timor-Leste,"22,832",+2,130,,"22,683",+2,19,,"16,760",95,"257,324","188,887","1,362,317",Asia
172,Burkina Faso,"20,853",,382,,"20,439",,32,,952,17,"248,995","11,367","21,904,276",Africa
173,Cayman Islands,"20,606",,24,,"8,553",,"12,029",1,"307,227",358,"222,773","3,321,450","67,071",North America
174,Nicaragua,"18,434",,224,,"4,225",,"13,985",,"2,726",33,,,"6,762,296",North America
175,Tajikistan,"17,388",,124,,"17,264",,0,,"1,754",13,,,"9,911,851",Asia
176,South Sudan,"17,278",+16,138,,"13,514",,"3,626",1,"1,513",12,"361,644","31,659","11,423,081",Africa
177,Gibraltar,"16,979",+47,101,,"16,359",+110,519,3,"504,232","2,999","533,498","15,843,495","33,673",Europe
178,Liechtenstein,"16,429",+51,84,,"16,199",+272,146,4,"428,743","2,192","80,413","2,098,515","38,319",Europe
179,Equatorial Guinea,"15,903",,183,,"15,693",,27,5,"10,720",123,"301,203","203,041","1,483,461",Africa
180,Djibouti,"15,587",,189,,"15,391",,7,,"15,385",187,"298,261","294,402","1,013,107",Africa
181,San Marino,"15,181",,113,,"14,740",,328,4,"445,766","3,318","144,139","4,232,411","34,056",Europe
182,CAR,"14,649",,113,,"6,859",,"7,677",2,"2,944",23,"81,294","16,336","4,976,489",Africa
183,Grenada,"14,012",,218,,"13,735",,59,4,"123,526","1,922","143,760","1,267,345","113,434",North America
184,Bermuda,"12,564",,128,,"12,198",,238,,"203,051","2,069","841,380","13,597,841","61,876",North America
185,Gambia,"11,988",,365,,"11,591",,32,,"4,729",144,"155,686","61,409","2,535,232",Africa
186,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,231",369,"164,926","2,896,386","56,942",North America
187,Dominica,"11,891",+32,63,,"11,683",+9,145,,"164,472",871,"184,859","2,556,903","72,298",North America
188,Yemen,"11,806",,"2,143",,"8,999",,664,23,381,69,"265,253","8,564","30,973,459",Asia
189,Solomon Islands,"11,470",,133,,"9,700",,"1,637",1,"16,013",186,"5,117","7,144","716,305",Australia/Oceania
190,Monaco,"10,790",+32,54,,"10,533",+98,203,4,"271,597","1,359","54,960","1,383,407","39,728",Europe
191,Saint Martin,"10,107",,63,,"1,399",,"8,645",7,"253,830","1,582","112,382","2,822,392","39,818",North America
