#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
158,Tanzania,"33,620",,798,,N/A,N/A,N/A,7,537,13,,,"62,565,411",Africa
159,Bahamas,"33,146",+11,771,,"26,229",+8,"6,146",9,"82,968","1,930","220,353","551,566","399,504",North America
160,Lesotho,"32,612",,696,,"23,343",,"8,573",,"15,025",321,"398,053","183,389","2,170,541",Africa
161,Mauritius,"31,850",+119,786,,"27,594",,"3,470",,"24,975",616,"358,675","281,251","1,275,284",Africa
162,Mali,"30,383",+2,722,,"29,518",+20,143,,"1,432",34,"622,629","29,340","21,221,400",Africa
163,Haiti,"30,342",,820,,"25,219",,"4,303",,"2,608",70,"132,422","11,382","11,634,062",North America
164,Benin,"26,567",,163,,"25,506",,898,5,"2,100",13,"604,310","47,765","12,651,662",Africa
165,Somalia,"26,351",+38,"1,348",,"13,182",,"11,821",,"1,584",81,"400,466","24,079","16,631,081",Africa
166,Congo,"24,020",,378,,"20,178",,"3,464",,"4,182",66,"347,815","60,551","5,744,151",Africa
167,Isle of Man,"22,969",+125,79,,"22,384",+49,506,,"267,757",921,"150,753","1,757,376","85,783",Europe
168,Timor-Leste,"22,716",+23,128,,"22,185",+45,403,9,"16,700",94,"248,770","182,885","1,360,256",Asia
169,Saint Lucia,"22,712",+18,358,,"22,246",+66,108,4,"122,751","1,935","135,918","734,593","185,025",North America
170,Burkina Faso,"20,751",,375,,"20,309",,67,,949,17,"248,995","11,392","21,857,120",Africa
171,Taiwan,"20,533",+44,853,,"18,440",+54,"1,240",,860,36,"11,618,609","486,366","23,888,601",Asia
172,Cayman Islands,"19,373",,17,,"8,553",,"10,803",2,"289,115",254,"222,773","3,324,573","67,008",North America
173,Nicaragua,"18,105",+101,221,+1,"4,225",,"13,659",,"2,680",33,,,"6,755,837",North America
174,Tajikistan,"17,388",,124,,"17,263",,1,,"1,757",13,,,"9,894,249",Asia
175,South Sudan,"16,978",+5,137,,"13,271",,"3,570",1,"1,488",12,"340,487","29,835","11,412,327",Africa
176,Equatorial Guinea,"15,884",,182,,"15,664",,38,5,"10,735",123,"273,437","184,797","1,479,663",Africa
177,Djibouti,"15,547",,189,,"15,352",,6,,"15,364",187,"285,412","282,047","1,011,929",Africa
178,Gibraltar,"15,488",+60,101,,"14,886",+54,501,10,"459,939","2,999","515,557","15,310,239","33,674",Europe
